id,name,description,price
1,MALM,6-drawer dresser white with minimalist design and smooth-running drawers,179.99
2,BILLY,Bookcase with adjustable shelves in oak veneer finish,69.99
3,POÄNG,Armchair with bentwood frame and cushioned seat in birch veneer,129.99
4,KALLAX,Shelf unit with 8 inserts perfect for storage and display,89.99
5,LACK,Side table with lightweight construction in black-brown,9.99
6,HEMNES,Bed frame with 4 storage boxes in white stain,299.99
7,EXPEDIT,TV storage unit with cable management solution,149.99
8,EKTORP,3-seat sofa with washable cover in beige,399.99
9,PAX,Wardrobe with sliding doors and interior organizers,499.99
10,KIVIK,Chaise longue with deep seat and pocket springs,249.99
11,RENBERGET,Swivel chair with adjustable height and tilt mechanism,59.99
12,LINNMON,Table top with steel legs in white finish,39.99
13,ALEX,Drawer unit on castors with 9 drawers,119.99
14,MICKE,Desk with integrated cable management,79.99
15,MARKUS,Office chair with mesh backrest and lumbar support,199.99
16,KLIPPAN,Compact 2-seat sofa with removable cover,249.99
17,BRIMNES,TV bench with storage drawers and glass doors,129.99
18,NORDEN,Gateleg table with storage compartments,169.99
19,IVAR,Storage combination with solid pine shelves,89.99
20,FÄRGRIK,16-piece dinnerware set in white porcelain,29.99
21,BEKVÄM,Kitchen cart with solid wood top,59.99
22,RÅSKOG,Utility cart with 3 tiers in turquoise,29.99
23,TÄRNÖ,Outdoor folding chair in acacia wood,19.99
24,INGOLF,Bar stool with backrest in antique stain,49.99
25,VITTSJÖ,Laptop table with tempered glass top,39.99
26,FJÄLLBO,Coffee table with metal frame and solid wood,79.99
27,HEMNES,Shoe cabinet with 4 compartments,99.99
28,STOCKHOLM,TV unit with walnut veneer drawers,299.99
29,KALLAX,Room divider with 16 cubes,179.99
30,MALM,Queen bed frame with 4 storage boxes,399.99
31,SÖDERHAMN,Sectional corner sofa with chaise,799.99
32,BESTÅ,TV storage combination with glass doors,349.99
33,LERHAMN,Dining table with 4 chairs in light antique stain,199.99
34,TINGBY,Side table on castors with white finish,29.99
35,NORDLI,Modular chest of 6 drawers,249.99
36,FRIHETEN,Corner sofa-bed with storage,599.99
37,HAVSTA,Storage combination with glass doors,449.99
38,IDÅSEN,Standing desk with electric height adjustment,549.99
39,KULLABERG,Industrial-style desk chair with swivel function,79.99
40,SVALNÄS,Wall-mounted workspace combination,299.99
41,METOD,Kitchen cabinet system with white fronts,899.99
42,GODMORGON,Bathroom vanity with 2 drawers,199.99
43,TROFAST,Storage combination with plastic boxes,89.99
44,KURA,Reversible bed that can be used as a loft,179.99
45,DOCKSTA,Round dining table with tulip-shaped base,199.99
46,SYMFONISK,Table lamp with WiFi speaker,169.99
47,SKÅDIS,Pegboard combination for wall organization,29.99
48,ÄPPLARÖ,Outdoor dining set with 4 chairs,299.99
49,KALLAX,Insert with door for shelf unit,15.99
50,KOMPLEMENT,Interior organizers for PAX wardrobe,79.99
